Year,Month,District,Region,Estimated_Population,Confirmed_Malaria_Cases,Incidence_per_1000,Incidence_per_100,Rainfall_mm,Temperature_C,RH_percent,Month_Num,Rainfall_lag1,Rainfall_lag2,Cases_lag1,Cases_lag2
2017,December,Kumba,Southwest,215378,710,3.3,0.33,0.0028682646998565865,0.33962264150943433,0.6606334841628958,12,0.18438844499078058,0.20508092603974598,0.44405594405594406,0.6664335664335664
2018,January,Kumba,Southwest,220762,620,2.81,0.28,0.009629174349518542,0.3207547169811322,0.497737556561086,1,0.0028682646998565865,0.18438844499078058,0.3195804195804196,0.44405594405594406
2018,February,Kumba,Southwest,220762,630,2.86,0.29,0.19483712354025817,0.43396226415094397,0.7420814479638009,2,0.009629174349518542,0.0028682646998565865,0.2566433566433566,0.3195804195804196
2018,March,Kumba,Southwest,220762,735,3.33,0.33,0.08031141159598444,0.301886792452831,0.8552036199095019,3,0.19483712354025817,0.009629174349518542,0.26363636363636367,0.2566433566433566
2018,April,Kumba,Southwest,220762,970,4.39,0.44,0.07477975824626101,0.3207547169811322,0.8687782805429869,4,0.08031141159598444,0.19483712354025817,0.337062937062937,0.26363636363636367
2018,May,Kumba,Southwest,220762,999,4.53,0.45,0.10796967834460153,0.301886792452831,0.886877828054299,5,0.07477975824626101,0.08031141159598444,0.5013986013986014,0.337062937062937
2018,June,Kumba,Southwest,220762,1244,5.64,0.56,0.421020282728949,0.18867924528301927,0.9276018099547514,6,0.10796967834460153,0.07477975824626101,0.5216783216783216,0.5013986013986014
2018,July,Kumba,Southwest,220762,1234,5.59,0.56,0.24626101208768694,0.09433962264150964,0.9366515837104075,7,0.421020282728949,0.10796967834460153,0.693006993006993,0.5216783216783216
2018,August,Kumba,Southwest,220762,1332,6.03,0.6,0.28354845318582256,0.03773584905660421,0.9411764705882355,8,0.24626101208768694,0.421020282728949,0.686013986013986,0.693006993006993
2018,September,Kumba,Southwest,220762,1257,5.7,0.57,0.20835894283958203,0.13207547169811296,0.9276018099547514,9,0.28354845318582256,0.24626101208768694,0.7545454545454545,0.686013986013986
2018,October,Kumba,Southwest,220762,1069,4.84,0.48,0.22208563818889573,0.20754716981132137,0.9049773755656112,10,0.20835894283958203,0.28354845318582256,0.702097902097902,0.7545454545454545
2018,November,Kumba,Southwest,220762,928,4.2,0.42,0.12886703544355665,0.33962264150943433,0.8506787330316747,11,0.22208563818889573,0.20835894283958203,0.5706293706293706,0.702097902097902
2018,December,Kumba,Southwest,220762,729,3.3,0.33,0.003073140749846343,0.3207547169811322,0.6515837104072397,12,0.12886703544355665,0.22208563818889573,0.472027972027972,0.5706293706293706
2019,January,Kumba,Southwest,226281,664,2.94,0.29,0.03359967219832002,0.37735849056603765,0.7013574660633486,1,0.003073140749846343,0.12886703544355665,0.3328671328671329,0.472027972027972
2019,February,Kumba,Southwest,226281,604,2.67,0.27,0.024994878098750256,0.43396226415094397,0.5837104072398187,2,0.03359967219832002,0.003073140749846343,0.28741258741258735,0.3328671328671329
